radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,NSA :,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820280327,87,15,3,0,0,0,0,0,0,105,0
820280401,296,39,18,7,1,1,0,0,2,363,0
820280402,214,27,0,36,1,0,0,0,5,283,0
820280403,275,66,1,11,0,1,0,0,10,363,0
820280404,339,26,2,10,1,0,0,0,1,379,0
820280405,233,88,6,21,10,0,0,1,9,368,0
820280406,187,0,0,60,0,6,0,1,0,248,0
820280407,324,6,0,7,1,0,0,5,0,343,0
820280408,221,19,0,13,0,2,0,0,0,253,0
820280409,287,4,0,36,0,0,0,0,0,327,0
820280410,425,30,3,21,8,1,1,0,3,491,0
820280411,274,13,0,0,1,0,0,1,0,289,0
820280412,346,4,4,1,1,0,0,0,1,357,0
820280413,364,18,0,0,0,0,0,0,0,382,0
820280414,380,11,0,4,0,0,0,1,0,396,0
820280415,298,12,1,4,0,0,0,0,0,315,0
820280501,162,100,2,1,0,0,0,8,24,297,0
820280502,199,9,12,18,0,0,0,0,0,238,0
820280503,269,5,0,15,1,0,0,6,0,296,0
820280504,292,2,0,11,0,0,0,0,1,306,0
820280505,419,30,8,13,0,0,1,2,3,476,0
820280506,503,25,10,4,0,0,0,0,11,553,0
820280507,293,15,0,1,0,0,0,0,0,309,0
820280508,383,33,5,0,2,0,0,2,0,425,0
820280509,313,31,11,11,0,0,0,0,0,366,0
820280510,221,7,0,2,0,0,0,0,0,230,0
820280511,415,10,2,23,1,0,0,6,0,457,0
820280512,438,75,4,0,0,0,0,3,2,522,0
820280513,253,17,3,140,1,0,0,1,0,415,0
820280514,313,31,1,0,0,0,0,2,0,347,0
820280515,263,106,7,0,8,0,0,0,3,387,0
820280516,242,8,1,5,1,0,0,1,0,258,0
820280517,375,23,1,37,0,0,0,0,0,436,0
820289201,38,11,0,0,0,0,0,0,1,50,0
820350101,43,38,16,0,0,0,0,0,3,101,1
820350102,139,77,3,6,0,2,0,0,24,249,0
820350103,22,14,3,0,0,0,0,0,23,64,2
820350104,5,3,0,0,0,0,0,0,1,9,0
820350105,10,3,0,0,0,0,0,0,3,16,0
820350106,58,89,2,0,0,1,0,0,64,213,0
820350107,12,13,0,0,0,0,0,0,3,28,0
820350108,26,63,1,0,0,0,0,0,10,100,0
820350109,25,43,0,0,0,0,0,0,9,77,0
820350110,72,66,0,0,1,1,0,0,12,151,0
820350111,317,61,0,0,0,0,0,0,3,381,0
820350112,102,113,2,0,0,0,0,0,23,240,0
820350113,253,65,0,6,0,0,0,0,3,327,0
820350114,306,30,1,6,0,9,0,0,4,348,1
820350115,13,4,0,0,0,0,0,0,4,21,0
820350116,112,28,0,0,0,1,0,1,3,144,0
820350117,199,62,0,0,1,0,0,2,11,275,0
820350201,1,4,0,0,0,0,0,0,0,5,0
820350202,354,170,2,0,0,2,0,0,30,556,0
820350203,14,18,0,0,0,0,0,0,0,32,0
820350204,6,7,0,0,0,0,0,0,5,18,0
820350205,38,7,0,0,0,0,1,0,3,50,1
820350206,55,67,1,0,0,0,0,0,5,128,0
820350207,110,158,1,0,0,0,0,0,33,304,2
820350208,27,49,1,0,0,0,0,0,7,84,0
820350209,169,120,14,0,0,0,0,0,22,325,0
820350210,321,39,2,0,1,2,0,2,10,375,0
